qid,docid,docno,text,query,score,rank
q_2,8730885,8730885,"Michael Jackson, Vincent Price, and Thriller. Michael Jackson Passes On, But His Work Is Immortal. As we mourn Michael Jacksons death and celebrate his career, HFZ would like to reflect on Thriller and the involvement of Vincent Price. Thriller was written by Rod Temperton, an English songwriter who wrote songs for many R&B/funk acts like Heatwave, Brothers Johnson, Stephanie Mills, and Donna Summer.",Who performed Thriller,-107.41151320021325,18.0
q_2,4133048,4133048,"Anthony Marinelli. Anthony Marinelli (born March 19, 1959) is a classically trained American pianist, composer and conductor. In his early career, he composed and performed accompaniment on the synthesizer for albums including Michael Jackson's Thriller (1983).",Who performed Thriller,-107.43993798475438,19.0
q_2,2822253,2822253,"For the Weird Al Yankovic parody, see Eat It. Beat It is a song written and performed by American singer Michael Jackson and produced by Quincy Jones (with co-production by Jackson). It is the third single from the singer's sixth solo album, Thriller (1982).",Who performed Thriller,-107.49976608734303,20.0
q_2,671990,671990,"Thriller (Michael Jackson album, single, and video) Michael Jackson's 'Thriller' album had a release date of November 30, 1982, but it officially came out in 1983. As of 2009, it is still the best-selling album in music history. The single Thriller was released in the UK in November 1983, and t.",Who performed Thriller,-107.56780021469766,21.0
q_2,752963,752963,"Thriller is a broad genre of literature, film and television, having numerous subgenres. Thrillers are characterized and defined by the moods they elicit, giving viewers heightened feelings of suspense, excitement, surprise, anticipation and anxiety. Successful examples of thrillers are the films of Alfred Hitchcock.",Who performed Thriller,-107.61517219822579,22.0
q_2,3221701,3221701,"Jeffrey Daniel of the soul music group Shalamar co-choreographed the Smooth Criminal video with Jackson and Vincent Paterson, who was a back-up dancer in Beat It and Thriller.",Who performed Thriller,-107.79036109726601,23.0
q_2,3015649,3015649,"Songwriter Who Wrote 'Thriller' Dead at 66. Rod Temperton dies in London. In this March 29, 2012 file photo, songwriter Rod Temperton and his wife Kathy attending a Teenage Cancer Trust concert at the Royal Albert Hall in London. (Newser)  Anyone who's ever joyously sung, 'Cause this is THRILLER! at a Halloween party was singing the work of Rod Temperton, though they may not have known it. And now the songwriter behind Michael Jackson's Thriller and more of his big hits, including Off the Wall and Rock With You, has died.",Who performed Thriller,-107.95980804245644,24.0
q_2,4430429,4430429,"The devotee in question is Ola Ray, the 52-year-old former Playboy model who is perhaps best known for having starred as Jackson's girlfriend in the iconic 1983 Thriller video.he devotee in question is Ola Ray, the 52-year-old former Playboy model who is perhaps best known for having starred as Jackson's girlfriend in the iconic 1983 Thriller video.",Who performed Thriller,-108.20673160832101,25.0
q_2,8635698,8635698,"Keanu Charles Reeves is a Canadian actor, director, producer, and musician. He gained fame for his starring role performances in several blockbuster films, including comedies from the Bill and Ted franchise; action thrillers Point Break, Speed, and the John Wick franchise; psychological thriller The Devil's Advocate; supernatural thriller Constantine; and science fiction/action series The Matrix. He has also appeared in dramatic films such as Dangerous Liaisons, My Own Private Idaho, and Little",Who performed Thriller,-108.4295824674862,26.0
q_2,3314275,3314275,"Alfred Hitchcock's first thriller was his third silent film The Lodger (1926), a suspenseful Jack the Ripper story. His next thriller was Blackmail (1929), his and Britain's first sound film. His notable thrillers in the 1930s include, The Man Who Knew Too Much, and The 39 Steps.",Who performed Thriller,-108.51476561110192,27.0
q_2,3689107,3689107,"London Spy Review: Come for the Espionage, Stay for Ben Whishaw's Performance. BBC America's new miniseries is less a spy thriller than an exploration of one man's journey as he sets out to uncover the truth about his lover's grisly murder.",Who performed Thriller,-109.00598537008935,28.0
q_2,4461296,4461296,"Synopsis. One of the darkest musicals ever written, Sweeney Todd: A Musical Thriller is the unsettling tale of a Victorian-era barber who returns home to London after fifteen years of exile to take revenge on the corrupt judge who ruined his life.",Who performed Thriller,-109.39843808691674,29.0
q_2,4834399,4834399,"Homer's Odyssey is one of the oldest stories in the Western world and is regarded as an early prototype of the thriller. One of the earliest thriller films was Harold Lloyd's comic Safety Last! (1923), with a character performing a daredevil stunt on the side of a skyscraper.",Who performed Thriller,-109.9820247797268,30.0
q_2,7748933,7748933,"What year did Michael Jackson's Thriller come out? Thriller (Michael Jackson album, single, and  video)   Michael Jackson's 'Thriller' album had a release date of  November 30, 1982, but it officially came out in 1983. As of 2009,  it is still the best-selling album in music history.",Who performed Thriller,-110.93053518812829,31.0
q_2,3948637,3948637," Tags for Hush Horror,John Gallagher Jr.,Kate Siegel,Michael Trucco,Mike Flanagan,Samantha Sloyan,Thriller. A horror thriller film about a deaf writer (Kate Siegel) who while on retreat at her home in the woods must fight for her life in silence, when a masked psychotic killer appears at her window.",Who performed Thriller,-111.11830746214562,32.0
q_2,6294868,6294868,"From Shondalands Shonda Rhimes and Betsy Beers, this thriller centers on the strong, successful Alice Martin. Shes a fraud investigator whos about to be the victim of fraud by her fiance. fiancbout the show. From Shondalands Shonda Rhimes and Betsy Beers, this thriller centers on the strong, successful Alice Martin. Shes a fraud investigator whos about to be the victim of fraud by her fiance. Fianc between her, cases she is determined to find him before it ruins her. career",Who performed Thriller,-111.34971391241723,33.0
q_2,4865451,4865451,"With his breakthrough performance as Eames in Christopher Nolan 's science fiction thriller Inception (2010), English actor Tom Hardy has been brought to the attention of mainstream audiences worldwide.",Who performed Thriller,-111.76602517645532,34.0
q_2,2890675,2890675,"Eagle Has Flown, Jack Higgins, Michael Page, Mystery, Thriller & Horror>Suspense, >Mystery, Thriller & Horror, Brilliance Audio, 7",Who performed Thriller,-112.1223384050625,35.0
q_2,6294866,6294866,"about the show. From Shondalands Shonda Rhimes and Betsy Beers, this thriller centers on the strong, successful Alice Martin. Shes a fraud investigator whos about to be the victim of fraud by her fiance. Fianc between her, cases she is determined to find him before it ruins her. careerbout the show. From Shondalands Shonda Rhimes and Betsy Beers, this thriller centers on the strong, successful Alice Martin. Shes a fraud investigator whos about to be the victim of fraud by her fiance. Fianc between her, cases she is determined to find him before it ruins her. career",Who performed Thriller,-113.26303683798486,36.0
q_2,7855156,7855156,"Thrillers Inspiration, Thrillers Tutu, Ideas Outfits, Tutu Sets, Michael Jackson Thrillers, Inspiration Tutu, Michael Jackson Costumes, Halloween Ideas, ...",Who performed Thriller,-113.28850709479028,37.0
q_2,7281337,7281337,"Jennifer Lawrence and Javier Bardem deliver unforgettable performances in mother!, director Darren Aronofsky's praised opus. experience the visually arresting psychological thriller that will leave your heart pounding and your mind blown!",Who performed Thriller,-113.35403644125634,38.0
q_2,1402386,1402386,"A classic thriller with some of the best chase scenes, the script is good, the performances are good, if you're a fan of suspense, you've probably watched this movie. Kylie Winters, a bullied and self-loathing teen, reluctantly agrees to babysit at an isolated country mansion on Halloween night.",Who performed Thriller,-113.41609441321069,39.0
q_2,5860795,5860795,"Fracture new thriller movie trailers starring Anthony Hopkins, Ryan Gosling and Rosamund Pike about a man (Hopkins) who tried to murder his wife and is set free on a series of technicalities. Find the latest video clips and trailer movies from the upcoming new 2007 thriller movie.",Who performed Thriller,-113.48183166067773,40.0
q_2,3662586,3662586,"Mini Bio (1). With his breakthrough performance as Eames in Christopher Nolan 's science fiction thriller Inception (2010), English actor Tom Hardy has been brought to the attention of mainstream audiences worldwide.",Who performed Thriller,-113.50602304022485,41.0
q_2,744844,744844,"Released: 2009. Rating: R. Review: The taut political thriller The International has a lot going for it: an elaborate, ripped-from-the-headlines plot about political intrigue and corporate hegemony; intense performances by the very concerned-looking Clive Owen and Naomi Watts; and a perfect (more)",Who performed Thriller,-113.62320386450463,42.0
q_2,4175118,4175118,"Few modern directors can inspire the same level of loyalty as Christopher Nolan. Its not just his fans. Many actors consistently return to star in his movies. The directors upcoming film Dunkirk will prove no different, as he has already begun to enlist an ensemble of familiar faces to perform in the WWII thriller.",Who performed Thriller,-113.97945367376977,43.0
q_2,7009928,7009928,"Audience Reviews for Secret in Their Eyes. 1  Secret In Their Eyes is a dark and disturbing psychological thriller. The story follows a former FBI agent who, after 13 year, has tracked down the killer of his best friend's daughter and seeks to finally bring him to justice. Starring Chiwetel Ejiofor, Nicole Kidman, and Julia Roberts, the performances are quite good.",Who performed Thriller,-114.44480430166894,44.0
q_2,1709511,1709511,"Kate Noelle Holmes (born December 18, 1978) is an American actress who first achieved fame for her role as Joey Potter on The WB television teen drama Dawson's Creek from 1998 to 2003. She appeared in 1998's Disturbing Behavior, a thriller, which won her an MTV Movie Award for Best Breakthrough Performance.",Who performed Thriller,-114.6106115488308,45.0
q_2,4827090,4827090,"Anthology thriller comes from Universal Cable Productions. USA Network has picked up the anthology series The Sinner from sibling Universal Cable Productions (UCP). The crime thriller is executive produced by Jessica Biel, who stars in it as well. Bill Pullman is in the cast as well as a rogue investigator.",Who performed Thriller,-114.61996900122338,46.0
q_2,3613908,3613908,"His performance is further evidence not only of his gift for acting but of his likeable personality The film is a fitting legacy for a performer who cared more about acting than being a star. The Imaginarium of Dr. Parnassus is highly enjoyable and offers something refreshingly different in a world of superheroes, formulaic romances and predictable thrillers. The film opens in limited release on December 25 th, 2009.",Who performed Thriller,-114.84695350210839,47.0
q_2,2681750,2681750,"The first actor to be cast for True Detective was Matthew McConaughey, who acted as Detective Rustin Rust Cohle. McConaughey came to Pizzolatto's attention for his performance in the 2011 thriller film The Lincoln Lawyer, and was contracted before the series was commissioned by HBO.",Who performed Thriller,-114.91739284079247,48.0
q_2,5016410,5016410,"He has also performed on stage, and played Biff in the 2012 Broadway revival of Arthur Miller's Death of a Salesman, co-starring Philip Seymour Hoffman. Garfield's performance earned him a Tony Award nomination for Best Featured Actor in a Play. In 2014, he co-produced and starred in the thriller 99 Homes.",Who performed Thriller,-115.31397687475854,49.0
q_2,451132,451132,"Homecoming, an Upcoming Psychological Thriller Podcast, Has a Sonic Dream-Cast. | November 1, 2016. Catherine Keener and Oscar Isaac (who previously appeared together in David Simons potent Show Me a Hero) will be joining up again to voice a psychological thriller podcast, reports Indiewire.",Who performed Thriller,-115.42888223211938,50.0
q_2,451136,451136,"Homecoming, an Upcoming Psychological Thriller Podcast, Has a Sonic Dream-Cast. Catherine Keener and Oscar Isaac (who previously appeared together in David Simons potent Show Me a Hero) will be joining up again to voice a psychological thriller podcast, reports Indiewire.",Who performed Thriller,-115.48477517645532,51.0
q_2,2673784,2673784,"A stylish and haunting film-noir thriller, Midnight in the Garden of Good and Evil is another lesson in peerless film-making by Clint Eastwood. John Cusack makes one of his most positive performances and skips the usual charming giddiness he is famed for.",Who performed Thriller,-116.025150885989,52.0
q_2,2673791,2673791,"Another lesson in movie making by Clint. A stylish and haunting film-noir thriller, Midnight in the Garden of Good and Evil is another lesson in peerless film-making by Clint Eastwood. John Cusack makes one of his most positive performances and skips the usual charming giddiness he is famed for.",Who performed Thriller,-116.16645490210229,53.0
q_2,7108868,7108868,"Tom Hardy Actor, Mad Max: Fury Road With his breakthrough performance as Eames in Christopher Nolan's science fiction thriller Inception, English actor Tom Hardy has been brought to the attention of mainstream audiences worldwide.",Who performed Thriller,-116.66420327704125,54.0
q_2,1804335,1804335,Critic Consensus: The Honorable Woman is a captivating spy thriller with a slow-burning narrative and an enthralling performance from Maggie Gyllenhaal.,Who performed Thriller,-116.74032651465112,55.0
q_2,5673500,5673500,"A thriller is usually a villain-driven plot, whereby he or she presents obstacles that the protagonist must overcome. Common subgenres are psychological thrillers, crime thrillers, erotic thrillers and mystery thrillers.uspense is a crucial characteristic of the thriller genre. It gives the viewer a feeling of pleasurable fascination and excitement mixed with apprehension, uncertainty, anticipation, tension, and anxiety.",Who performed Thriller,-116.82746182959252,56.0
q_2,4127585,4127585,"NIGHTCRAWLER is a pulse-pounding thriller set in the nocturnal underbelly of contemporary Los Angeles. Jake Gyllenhaal stars as Lou Bloom, a driven young man desperate for work who discovers the high-speed world of L.A. crime journalism.IGHTCRAWLER is a pulse-pounding thriller set in the nocturnal underbelly of contemporary Los Angeles. Jake Gyllenhaal stars as Lou Bloom, a driven young man desperate for work who discovers the high-speed world of L.A. crime journalism.",Who performed Thriller,-116.84932672064477,57.0
q_2,1804334,1804334,Critics Consensus: The Honorable Woman is a captivating spy thriller with a slow-burning narrative and an enthralling performance from Maggie Gyllenhaal.,Who performed Thriller,-116.91741715948754,58.0
q_2,5609924,5609924,"Critics Consensus: Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller.",Who performed Thriller,-117.28241502325707,59.0
q_2,4127587,4127587,"Storyline. NIGHTCRAWLER is a thriller set in the nocturnal underbelly of contemporary Los Angeles. Jake Gyllenhaal stars as Lou Bloom, a driven young man desperate for work who discovers the high-speed world of L.A. crime journalism.toryline. NIGHTCRAWLER is a thriller set in the nocturnal underbelly of contemporary Los Angeles. Jake Gyllenhaal stars as Lou Bloom, a driven young man desperate for work who discovers the high-speed world of L.A. crime journalism.",Who performed Thriller,-117.49474965613061,60.0
q_2,6942244,6942244,"His performance as a drug-addicted teacher in Half Nelson (2006) was nominated for an Academy Award and his performance as a socially inept loner in Lars and the Real Girl (2007) was nominated for a Golden Globe Award. Also in 2007, he starred in the courtroom thriller Fracture.",Who performed Thriller,-117.55907975714379,61.0
q_2,3559770,3559770,"Safety Last! Safety last was the first ever thriller film made. It was directed by Fred C. Newmeyer and Sam Taylor, and written by Hal roach, same Taylor, Tim Whelan, H.M. walker, Jean c. Havez, and Harold Llyod. This film fits into the experimental stage of Christain Metzs genre theory, because it was the first even thriller film made. Every other thriller made after this had to have elements of this film or it wouldnt be classed as a thriller. ,",Who performed Thriller,-117.58954011480981,62.0
q_2,7883415,7883415,"Katherine Heigl talks new thriller 'Unforgettable,' overcoming 'mommy guilt' Viewers will see a new side of Katherine Heigl in the upcoming thriller Unforgettable.. The 38-year-old actress plays an unhinged ex-wife who has it in for her ex's new fianc, played by Rosario Dawson. It was fun, Heigl said on Good Morning America of her villainess character. Geoff Stults dishes on 'Unforgettable' And now we are joined by geoff Stults starring in the new thriller Unforgettable..",Who performed Thriller,-117.80657540838891,63.0
q_2,4834397,4834397,"Horror thriller: Type of film that blends the horror and thriller genres: focusing on suspense, tension and adrenaline while having an emphasis on fear, terror and/or gore. Many horror films tend to cross over into the thriller genre due to their suspenseful and tense nature.",Who performed Thriller,-117.9120317606228,64.0
q_2,4339780,4339780,"And there's not a character in this movie that is convincing, even for a moment, nor a line in this movie that even experienced performers can make real. Firestarter was the fifth movie in a year that was based on a best-selling thriller by Stephen King.",Who performed Thriller,-117.93193017523461,65.0
q_2,4238029,4238029,"Netflix Thrillers movies and series. This overview contains all Netflix Thrillers movies and series. Netflix's content is updated with several new Thrillers movies and series every month. Currently, the best rated title in this category, with a rating of 4.4, is The Usual Suspects. Action & Adventure (412)",Who performed Thriller,-118.19226895849877,66.0
q_2,2371149,2371149,"Show Summary. A suspense-driven legal thriller about a defense attorney named Professor Annalise Keating (Viola Davis) and the four students from her class that she calls How to Get Away with Murder, who begin working together in her legal office.how Summary. A suspense-driven legal thriller about a defense attorney named Professor Annalise Keating (Viola Davis) and the four students from her class that she calls How to Get Away with Murder, who begin working together in her legal office.",Who performed Thriller,-118.30688821356469,67.0
q_2,5494646,5494646,"Difference Between Thriller and Horror. Thriller vs Horror. Thriller and horror are genres of movies that are very similar to each other. After all many people get a lot of thrill and excitement watching horror. Similarly, many movies that are meant to provide thrill to the audience contain elements that can be said to belong to horror.",Who performed Thriller,-118.35891305487328,68.0
q_2,2507168,2507168,"She is Pia Bajpai. She is an Indian film actress and model, who appears primarily in South Indian films. She is best known for her performances as Roshini in Venkat Prabhu's comedy Goa and Saro in K. V. Anand's political thriller Ko. Pia, with the motive of acting in films, earlier had been a model in commercials.",Who performed Thriller,-118.36132489721948,69.0
q_2,4696036,4696036,"psychological thriller. noun. a suspenseful movie or book emphasizing the psychology of its characters rather than the plot; this sub-genre of thriller movie or book. Examples. In a psychological thriller, the characters are exposed to danger on a mental level rather than a physical one. Word Origin.",Who performed Thriller,-118.42322503607446,70.0
q_2,3365217,3365217,"Audience Reviews for The Shallows. One-location thrillers usually have mixed reviews, due to their lack of sucking every average moviegoer. They will either become entranced by the performances and be along for the ride, or they will end up hating the film for being too boring and not exploring.",Who performed Thriller,-118.47620927374535,71.0
q_2,4404467,4404467,"From the mind of comic book legend Stan Lee comes a different kind of superhero, in this bold crime action thriller series about a brilliant but flawed cop who can control luck.",Who performed Thriller,-118.47794305365258,72.0
q_2,938401,938401,"Print Page Tweet. Dan Gilroy's thriller Nightcrawler is about an amateur cameraman who parlays his eye and his nerve into a successful small business, deceiving, manipulating and exploiting everyone who stands in his way.t's too attuned to the anxiety and misery of the people he manipulates to validate such a reading. But it does put a subtle editorial frame around Lou's odyssey. Nightcrawler is the blackly comedic, Neo-noir, night-people thriller that I wanted the Travis-Bickle-as-Superman fantasy Drive to be.",Who performed Thriller,-118.53044091742211,73.0
q_2,7719186,7719186,"1 Contrary to mysteries, in thrillers the reader, and sometimes the hero, know who the killer or antagonist is, often right from the start. The object is for the main character to outwit and stop the villain before its too late.  The major crime is yet to be committed.",Who performed Thriller,-118.55730306189233,74.0
q_2,4696030,4696030,Psychological thriller is a thriller story which emphasizes the unstable psychological states of its characters.,Who performed Thriller,-118.79088460486108,75.0
q_2,8114311,8114311,"Indo-Asian News Service gave it 3 stars out of 5 and wrote, Vadacurry has a promising story, one that connects with you instantly, but it needed powerful performances to be an edge-of-the-seat-thriller, which surely was missing.",Who performed Thriller,-118.8182235864895,76.0
q_2,4975157,4975157,"Get a forensic psychologist on the case. Popular psychological thriller TV shows have been a staple of television for years, so there's often debate about which are the most entertaining psychological thriller shows of all time.",Who performed Thriller,-118.90964757483178,77.0
q_2,7778543,7778543,"For me, in a literary work, the plot stems from the characters. The main character behaves in a particular way because that is who he or she is and it is their key character traits that drive the plot. Thrillers, for instance, can often have a plot that is external to the character.",Who performed Thriller,-118.96110307257348,78.0
q_2,3870052,3870052,"I said, God, Forrest, thats a terrific story  youre the guy whos going to take it with you! Still, Preston didnt go for the idea (although he did appropriate it, with Fenns blessing, for his 2003 thriller The Codex), and neither did any of the other writers.",Who performed Thriller,-118.98810445349389,79.0
q_2,39293,39293,"Motive is an edgy thriller that centers around Emery Simms, a highly educated and successful business tycoon who happens to be married to the quintessential wife Constance. Things go ...",Who performed Thriller,-119.01685296576196,80.0
q_2,1585775,1585775,"This is the third installment in the Murder film series and unlike its predecessors, this edition is an official remake-of the Colombian thriller The Hidden Face. Murder 3 was released on 15 February 2013 to mixed reviews. The film performed moderately well at the box office.",Who performed Thriller,-119.05398141424828,81.0
q_2,7081440,7081440,'The Meaning of Night' is a weighty read (700 pages) and a virtuoso accomplishment by the author. Those who appreciate Victorian thrillers will find pleasure in every sentence. Highly recommended.,Who performed Thriller,-119.11374627630883,82.0
q_2,5805906,5805906,Free eBooks - Thriller. Here you can find free books in the category: Thriller. Read online or download Thriller eBooks for free. Browse through our eBooks while discovering great authors and exciting books. Fantasy Romance Thriller Fiction Science Fiction Juvenile Fiction ...more.,Who performed Thriller,-119.14842759649926,83.0
q_2,3912351,3912351,"We already knew that a lot of people that watched Damages watched it in a binge fashion. This show is a family drama that morphs into a thriller. There are certain thriller elements early on that are threaded through, but it really becomes more and more of a thriller as it moves forward.",Who performed Thriller,-119.23814450781518,84.0
q_2,8624711,8624711,This contemporary crime thriller focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife.,Who performed Thriller,-119.30700837652856,85.0
q_2,6982012,6982012,"Michael R. Roskam, the director of The Drop, Gandolfini's final movie, was emotional in talking about The Sopranos star, who died last year after filming was completed on the crime thriller.",Who performed Thriller,-119.3132129816311,86.0
q_2,6294867,6294867,"The Catch is an upcoming American thriller television series that set to air on ABC. It is about Alice Vaughan (Mireille Enos), a fraud investigator who is poised to be the victim of a fraud by her fiance. fianche Catch is an upcoming American thriller television series that set to air on ABC. It is about Alice Vaughan (Mireille Enos), a fraud investigator who is poised to be the victim of a fraud by her fiance. fianc",Who performed Thriller,-119.36876737158471,87.0
q_2,2202307,2202307,"As soon as I read the synopsis for The Girl Who Was Supposed To Die, I HAD to get my hands on a copy ASAP. However I was still cautious in limiting my expectations because I was burnt way too many times by thriller books.",Who performed Thriller,-119.37539159338647,88.0
q_2,7797866,7797866,"You know who the good guys and bad guys are. Dull moments will lose an audience, and writers cant afford to lose an audience, even for one page. To captivate an audience (and agents and publishers), Braver offers these 10 essential ingredients for a successful thriller. 1. You need to have a good story. Thrillers want to be thrilled. A common element in thrillers is that the protagonist will fall victim to someone elses scheme and get stuck in a moment of dread.",Who performed Thriller,-119.4128690866726,89.0
q_2,3726381,3726381,"R | 1h 35min | 2006 (USA) The action crime-thriller, CORRUPTED MINDS, revolves around a gang of revolutionaries who are about to cause mayhem for the citizens and cops of the Motor City.",Who performed Thriller,-119.54509889166528,90.0
q_2,3145472,3145472,"Tagged: people, tv, tv actors, tv characters, actors, people in tv, fictional characters, homeland, Washington, D.C., television, thrillers, political dramas, thriller shows, washington dc, home land, thriller tv.",Who performed Thriller,-119.59497319739037,91.0
q_2,3726378,3726378,"Detroit (2006) The action crime-thriller, CORRUPTED MINDS, revolves around a gang of revolutionaries who are about to cause mayhem for the citizens and cops of the Motor City.",Who performed Thriller,-119.625643363406,92.0
q_2,7719183,7719183,"October 12, 2012October 15, 2012Posted in Crime and Thrillers, Writing CraftTagged crime fiction, genre, mystery, thriller fiction, thriller writer, thrillers, writing craft. Last week I attempted to define some elements expected of the typical reader in a psychological thriller.",Who performed Thriller,-119.71707498114282,93.0
q_2,4069144,4069144,"As a psychological thriller of sorts, I Am the Cheese gives the reader a lot to think about. As we read, we are caught up in the internal turmoil of the protagonist. Adam is growing up and, like all of us, he's just trying to figure out who he is.",Who performed Thriller,-119.76230870764428,94.0
q_2,7432974,7432974,Open Dictionary. whydunnit. a thriller where you know who committed a crime and the focus of interest is on finding out why. add a word,Who performed Thriller,-119.7782484201687,95.0
q_2,5192334,5192334,The Girl Who Disappeared Twice (Forensic Instincts Book 1) is near the top of the list for thriller characters who are superhuman crime solvers in nearly every way.Read more.,Who performed Thriller,-119.85091840307885,96.0
q_2,5808314,5808314,"The Cold Moon is a crime thriller novel written by Jeffery Deaver. It is the seventh book in the Lincoln Rhyme series, and also introduces CBI agent Kathryn Dance, who would get her own series of books.",Who performed Thriller,-119.99478208105737,97.0
q_2,8056270,8056270,"Tonight on Discovery's true crime thriller Killing Fields: Murder Isle, a forensic software program maps out exactly who the killer is genetically, and it's not who they think.",Who performed Thriller,-120.05582677405053,98.0
q_2,7807586,7807586,Beantown natives and film buffs can easily spot a movie with enough Boston flair to color every aspect of the film. Some examples include the crime thriller 'The Departed' or the crime thriller 'The Boondock Saints' or the crime thriller 'Mystery Street' or ... you get the idea.,Who performed Thriller,-120.15172826330834,99.0
